Year,Population Density,Nitrous oxide emissions(kt),CO2 emissions (kt),Methane emissions (kt)
1961,24.12947871,154587.32,9396705.835,4013495
1962,24.54552269,134587.32,9434402.595,4089082
1963,25.05683615,144587.32,9818839.874,4568691
1964,25.57124086,148587.32,10355747.35,4783024
1965,26.09670418,143587.32,10947007.09,4797465
1966,26.64690455,134587.32,11433441.98,4879532
1967,27.19215709,164187.32,12009447,4983424
1968,27.74477821,164587.32,12389685.57,5094432
1969,28.33121782,183981.5,13017193.61,5234567
1970,28.92345484,134451.2193,13797116.84,5305820
1971,29.53286671,142200.2945,14788798.31,5145430
1972,30.1327629,150908.9062,15323175.56,5360610
1973,30.72536074,153268.7838,15957192.52,5421500
1974,31.32336359,161613.0159,16822109.48,5379140
1975,31.9076809,170618.2971,16850822.09,5503270
1976,32.47753244,178235.0254,16745791.87,5649430
1977,33.04575724,186677.5021,17726098.32,5796380
1978,33.62335238,190916.3894,18279804.32,5795950
1979,34.21577659,190873.7091,18497906.48,5972760
1980,34.8141278,190622.1599,19533547.95,6011410
1981,35.42834277,192823.9445,19324327.26,5871770
1982,36.06614298,195460.9206,18726246.9,6289190
1983,36.70955521,199300.111,18562354,6140330
1984,37.35121921,201064.6018,18484356.91,5987230
1985,38.00436042,204864.7904,19145865.38,6039460
1986,38.67709043,205167.0178,19719241.16,6198880
1987,39.36681204,216277.649,20315356.02,6463470
1988,40.06376359,220617.8969,20817151.96,6290090
1989,40.76069479,213553.9998,21565403.31,6429940
1990,41.46815234,216203.3279,22029385.16,6668380
1991,42.1585604,218689.7817,22149402.4,6708550
1992,42.82047594,220829.8689,22403928.87,6846520
1993,43.49056672,225810.0528,22183417.49,6503170
1994,44.15652422,233450.0914,22162174.56,6617590
1995,44.82442424,238148.153,22551690.63,6556730
1996,45.47601069,241085.3952,23037524.13,6551630
1997,46.09994438,244345.9751,23571556.67,7211170
1998,46.75127396,249058.9534,23975007.35,6681100
1999,47.38073459,253586.369,24114192,6503140
2000,48.00243416,252755.3552,24059187,6480650
2001,48.62573935,254668.0113,24689911,6591630
2002,49.24744342,258304.0053,25276631,6789740
2003,49.86873035,264308.6721,25646998,6831780
2004,50.4949014,267457.8176,27047792,7088150
2005,51.12456165,273966.9865,28393581,7275910
2006,51.76205612,278925.6706,29490014,7617940
2007,52.40177096,285365.5553,30568112,7697440
2008,53.0578812,294365.5353,31180501,7643170
2009,53.70761806,295365.3254,32181592,7774920
2010,54.35288621,305325.1954,31891899,7815790
2011,54.98858969,307375.5555,33472376,7927060.645
2012,55.64120231,309865.8754,34847501,8014066.562
2013,56.30033052,319369.4254,35470891,8015887
2014,56.96518047,319865.8654,35837591,8021983
2015,57.63083208,326789.3848,36138285,8094956
2016,58.29612808,328389.4353,36138285,8108976
2017,58.96185346,334567.3285,38138285,8673426
2018,59.61788075,339234.3295,39138285,8599732
2019,59.91788075,392342.2934,40138285,8973890
